Equipo,Valor_Mercado_Millones_Eur
Francia,58.58
Inglaterra,52.24
España,47.03
Portugal,38.67
Brasil,35.7
Argentina,31.06
Noruega,22.69
Bélgica,21.06
Marruecos,17.22
Estados Unidos,14.83
Suiza,12.79
Colombia,11.63
Canadá,7.64
México,7.38
Paraguay,5.91
Egipto,4.48
Alemania,36.42
Países Bajos,29.01
Costa de Marfil,20.08
Senegal,18.39
Turquía,18.22
Suecia,15.73
Croacia,14.9
Ecuador,14.18
Uruguay,13.82
Japón,10.42
Argelia,10.08
Austria,9.43
Ghana,9.01
Chequia,7.24
Escocia,6.55
Bosnia-Herzegovina,5.63
República Democrática del Congo,5.53
Corea del Sur,5.35
Uzbekistán,3.27
Australia,2.98
Túnez,2.69
Haití,2.15
Cabo Verde,2.1
Sudáfrica,1.89
Arabia Saudita,1.56
Panamá,1.33
Nueva Zelanda,1.32
Irán,1.23
Curazao,0.991
Irak,0.815
Jordania,0.781
Catar,0.766
Dinamarca,15.87
Italia,13.87
Grecia,11.02
Georgia,9.69
Ucrania,9.88
Rusia,7.35
Polonia,8.93
Serbia,7.76
Hungría,7.21
Camerún,8.28
Gales,6.69
Nigeria,7.49
Kosovo,5.28
Irlanda,5.47
Malí,4.32
Burkina Faso,4.43
Eslovenia,4.02
Albania,3.42
Islandia,3.69
Irlanda del Norte,3.47
Gambia,3.44
Venezuela,3.12
Montenegro,2.49
Israel,2.96
Chile,2.67
Eslovaquia,2.3
Rumanía,2.37
Angola,1.72
Finlandia,1.57
Armenia,1.56
Guinea-Bisáu,1.63
Surinam,1.38
Gabón,1.02
Macedonia del Norte,1.38
Perú,1.28
Bulgaria,1.21
Emiratos Árabes Unidos,1.21
Costa Rica,1.34
Togo,1.11
Zimbabue,1.21
Mauritania,1.01
Azerbaiyán,0.803
Honduras,0.824
Guinea,1.0
Comoras,0.667
Chipre,0.737
Indonesia,0.854
Kazajistán,0.782
Bolivia,0.661
Benín,0.728
Bielorrusia,0.729
Lituania,0.711
Malta,0.556
Luxemburgo,0.651
China,0.551
Liberia,0.55
Zambia,0.614
Estonia,0.515
Guadalupe,0.569
Sierra Leona,0.556
República Dominicana,0.513
Burundi,0.378
Níger,0.412
Libia,0.551
Palestina,0.345
Moldavia,0.372
Letonia,0.375
Tanzania,0.365
Jamaica,0.377
Uganda,0.302
Chad,0.356
República Centroafricana,0.337
Omán,0.297
Tayikistán,0.344
Siria,0.32
Guatemala,0.338
Malasia,0.271
Vietnam,0.269
Bangladés,0.315
Kirguistán,0.278
Ruanda,0.237
Corea del Norte,0.236
Madagascar,0.283
Baréin,0.275
Tailandia,0.273
Líbano,0.252
Nueva Caledonia,0.21
El Salvador,0.205
Islas Feroe,0.223
Kuwait,0.214
Kenia,0.195
Singapur,0.163
Pakistán,0.192
Eritrea,0.182
Guinea Ecuatorial,0.191
India,0.182
Andorra,0.143
Nicaragua,0.174
Martinica,0.177
Etiopía,0.149
Hong Kong,0.153
Filipinas,0.15
Turkmenistán,0.149
Sudán,0.12
Myanmar,0.125
República del Congo,0.116
Botsuana,0.103
Camboya,0.099
Cuba,0.105
Trinidad y Tobago,0.108
Yemen,0.098
Namibia,0.09
China Taipéi,0.087
Malaui,0.076
Gibraltar,0.073
Santo Tomé y Príncipe,0.072
Granada,0.043
Fiyi,0.083
Sudán del Sur,0.065
Guyana,0.06
Mozambique,0.061
Afganistán,0.06
Nepal,0.059
Laos,0.057
San Marino,0.048
Esuatini,0.045
Sri Lanka,0.045
Seychelles,0.045
Puerto Rico,0.047
Brunéi,0.041
Bután,0.039
Maldivas,0.039
Timor Oriental,0.032
Mauricio,0.035
Somalia,0.041
Mongolia,0.033
Islas Salomón,0.029
Antigua y Barbuda,0.028
Liechtenstein,0.026
Lesoto,0.025
Yibuti,0.029
San Cristóbal y Nieves,0.025
Vanuatu,0.025
San Vicente y las Granadinas,0.014
Sint Maarten,0.02
Bonaire,0.015
Macao,0.016
Bermudas,0.013
Montserrat,0.02
Belice,0.015
Guam,0.014
Samoa,0.012
Santa Lucía,0.013
Barbados,0.008
Aruba,0.007
Islas Vírgenes de los Estados Unidos,0.005
Guayana Francesa,0.005
Papúa Nueva Guinea,0.007
Islas Cook,0.006
Tahití,0.005
Islas Turcas y Caicos,0.003
Bahamas,0.0
Dominica,0.0
Tonga,0.0
Samoa Americana,0.0
Anguila,0.0
Islas Vírgenes Británicas,0.0
Islas Caimán,0.0
Kiribati,0.0
Saint-Martin,0.0
